time,PC,TC,P,T,Z
1,4.784,193.909,8,333,0.8879
2,4.784,193.909,9,333,0.8808
3,4.784,193.909,10,333,0.8753
4,4.784,193.909,11,333,0.8715
5,4.784,193.909,12,333,0.8685
6,4.784,193.909,13,333,0.8662
7,4.784,193.909,14,333,0.8655
8,4.784,193.909,15,333,0.8645
9,4.784,193.909,16,333,0.8646
10,4.784,193.909,17,333,0.8652
11,4.784,193.909,18,333,0.8666
12,4.784,193.909,19,333,0.8693
13,4.784,193.909,20,333,0.8726
14,4.784,193.909,21,333,0.8771
15,4.784,193.909,22,333,0.882
16,4.784,193.909,23,333,0.8883
17,4.784,193.909,24,333,0.8951
18,4.784,193.909,25,333,0.9015
19,4.784,193.909,26,333,0.9087
20,4.784,193.909,27,333,0.9163
21,4.784,193.909,28,333,0.9238
22,4.784,193.909,29.73,333,0.9395
23,4.784,193.909,8,343,0.8979
24,4.784,193.909,9,343,0.8904
25,4.784,193.909,10,343,0.8858
26,4.784,193.909,11,343,0.8812
27,4.784,193.909,12,343,0.8777
28,4.784,193.909,13,343,0.8758
29,4.784,193.909,14,343,0.874
30,4.784,193.909,15,343,0.8729
31,4.784,193.909,16,343,0.8735
32,4.784,193.909,17,343,0.8742
33,4.784,193.909,18,343,0.8761
34,4.784,193.909,19,343,0.879
35,4.784,193.909,20,343,0.8827
36,4.784,193.909,21,343,0.8869
37,4.784,193.909,22,343,0.8913
38,4.784,193.909,23,343,0.8961
39,4.784,193.909,24,343,0.9022
40,4.784,193.909,25,343,0.9081
41,4.784,193.909,26,343,0.9147
42,4.784,193.909,27,343,0.9218
43,4.784,193.909,28,343,0.9289
44,4.784,193.909,29.73,343,0.9433
45,4.784,193.909,8,353.1,0.9075
46,4.784,193.909,9,353.1,0.9002
47,4.784,193.909,10,353.1,0.8945
48,4.784,193.909,11,353.1,0.891
49,4.784,193.909,12,353.1,0.8889
50,4.784,193.909,13,353.1,0.887
51,4.784,193.909,14,353.1,0.8863
52,4.784,193.909,15,353.1,0.8863
53,4.784,193.909,16,353.1,0.8869
54,4.784,193.909,17,353.1,0.8883
55,4.784,193.909,18,353.1,0.8906
56,4.784,193.909,19,353.1,0.8933
57,4.784,193.909,20,353.1,0.8968
58,4.784,193.909,21,353.1,0.9005
59,4.784,193.909,22,353.1,0.9044
60,4.784,193.909,23,353.1,0.909
61,4.784,193.909,24,353.1,0.9145
62,4.784,193.909,25,353.1,0.9198
63,4.784,193.909,26,353.1,0.9267
64,4.784,193.909,27,353.1,0.9344
65,4.784,193.909,28,353.1,0.9414
66,4.784,193.909,29.73,353.1,0.9554
67,4.784,193.909,9,364.2,0.9117
68,4.784,193.909,10,364.2,0.907
69,4.784,193.909,11,364.2,0.9041
70,4.784,193.909,12,364.2,0.9025
71,4.784,193.909,13,364.2,0.9012
72,4.784,193.909,14,364.2,0.9008
73,4.784,193.909,15,364.2,0.9008
74,4.784,193.909,16,364.2,0.9016
75,4.784,193.909,17,364.2,0.9025
76,4.784,193.909,18,364.2,0.9045
77,4.784,193.909,19,364.2,0.9067
78,4.784,193.909,20,364.2,0.9095
79,4.784,193.909,21,364.2,0.9127
80,4.784,193.909,22,364.2,0.9166
81,4.784,193.909,23,364.2,0.9208
82,4.784,193.909,24,364.2,0.9254
83,4.784,193.909,25,364.2,0.9307
84,4.784,193.909,26,364.2,0.9367
85,4.784,193.909,27,364.2,0.9434
86,4.784,193.909,28,364.2,0.9499
87,4.784,193.909,29.73,364.2,0.9623
88,4.784,193.909,9,373.2,0.9181
89,4.784,193.909,10,373.2,0.9127
90,4.784,193.909,11,373.2,0.9094
91,4.784,193.909,12,373.2,0.9075
92,4.784,193.909,13,373.2,0.9065
93,4.784,193.909,14,373.2,0.9058
94,4.784,193.909,15,373.2,0.9059
95,4.784,193.909,16,373.2,0.9068
96,4.784,193.909,17,373.2,0.908
97,4.784,193.909,18,373.2,0.9101
98,4.784,193.909,19,373.2,0.9127
99,4.784,193.909,20,373.2,0.9154
100,4.784,193.909,21,373.2,0.9188
101,4.784,193.909,22,373.2,0.9228
102,4.784,193.909,23,373.2,0.927
103,4.784,193.909,24,373.2,0.9318
104,4.784,193.909,25,373.2,0.9368
105,4.784,193.909,26,373.2,0.9426
106,4.784,193.909,27,373.2,0.9483
107,4.784,193.909,28,373.2,0.9545
108,4.784,193.909,29.73,373.2,0.9667
109,4.3,193.627,8,325,0.8764
110,4.3,193.627,9,325,0.8663
111,4.3,193.627,10,325,0.8594
112,4.3,193.627,11,325,0.8544
113,4.3,193.627,12,325,0.85
114,4.3,193.627,13,325,0.8466
115,4.3,193.627,14,325,0.8443
116,4.3,193.627,15,325,0.8431
117,4.3,193.627,16,325,0.8426
118,4.3,193.627,17,325,0.8432
119,4.3,193.627,18,325,0.8444
120,4.3,193.627,19,325,0.8472
121,4.3,193.627,20,325,0.8503
122,4.3,193.627,21,325,0.8547
123,4.3,193.627,22,325,0.8596
124,4.3,193.627,23,325,0.8653
125,4.3,193.627,24,325,0.8717
126,4.3,193.627,25,325,0.8793
127,4.3,193.627,26,325,0.8871
128,4.3,193.627,27,325,0.8958
129,4.3,193.627,28.12,325,0.9059
130,4.3,193.627,8,337.4,0.8882
131,4.3,193.627,9,337.4,0.8794
132,4.3,193.627,10,337.4,0.8735
133,4.3,193.627,11,337.4,0.8687
134,4.3,193.627,12,337.4,0.8653
135,4.3,193.627,13,337.4,0.8626
136,4.3,193.627,14,337.4,0.8606
137,4.3,193.627,15,337.4,0.8594
138,4.3,193.627,16,337.4,0.8595
139,4.3,193.627,17,337.4,0.8605
140,4.3,193.627,18,337.4,0.862
141,4.3,193.627,19,337.4,0.8644
142,4.3,193.627,20,337.4,0.8674
143,4.3,193.627,21,337.4,0.8712
144,4.3,193.627,22,337.4,0.8753
145,4.3,193.627,23,337.4,0.8804
146,4.3,193.627,24,337.4,0.8863
147,4.3,193.627,25,337.4,0.8929
148,4.3,193.627,26,337.4,0.8995
149,4.3,193.627,27,337.4,0.9075
150,4.3,193.627,28.12,337.4,0.9164
151,4.3,193.627,8,346,0.9027
152,4.3,193.627,9,346,0.8941
153,4.3,193.627,10,346,0.8877
154,4.3,193.627,11,346,0.8836
155,4.3,193.627,12,346,0.8804
156,4.3,193.627,13,346,0.8778
157,4.3,193.627,14,346,0.876
158,4.3,193.627,15,346,0.875
159,4.3,193.627,16,346,0.8752
160,4.3,193.627,17,346,0.8758
161,4.3,193.627,18,346,0.8775
162,4.3,193.627,19,346,0.8792
163,4.3,193.627,20,346,0.8824
164,4.3,193.627,21,346,0.886
165,4.3,193.627,22,346,0.8903
166,4.3,193.627,23,346,0.8949
167,4.3,193.627,24,346,0.8998
168,4.3,193.627,25,346,0.9059
169,4.3,193.627,26,346,0.9113
170,4.3,193.627,27,346,0.9179
171,4.3,193.627,28.12,346,0.9259
172,4.3,193.627,9,355.8,0.9085
173,4.3,193.627,10,355.8,0.9013
174,4.3,193.627,11,355.8,0.8967
175,4.3,193.627,12,355.8,0.8938
176,4.3,193.627,13,355.8,0.8916
177,4.3,193.627,14,355.8,0.8899
178,4.3,193.627,15,355.8,0.8898
179,4.3,193.627,16,355.8,0.8896
180,4.3,193.627,17,355.8,0.8907
181,4.3,193.627,18,355.8,0.892
182,4.3,193.627,19,355.8,0.8944
183,4.3,193.627,20,355.8,0.8971
184,4.3,193.627,21,355.8,0.9001
185,4.3,193.627,22,355.8,0.904
186,4.3,193.627,23,355.8,0.9086
187,4.3,193.627,24,355.8,0.9131
188,4.3,193.627,25,355.8,0.9185
189,4.3,193.627,26,355.8,0.9247
190,4.3,193.627,27,355.8,0.9311
191,4.3,193.627,28.12,355.8,0.9394
192,4.3,193.627,9,365.9,0.921
193,4.3,193.627,10,365.9,0.9141
194,4.3,193.627,11,365.9,0.9097
195,4.3,193.627,12,365.9,0.9065
196,4.3,193.627,13,365.9,0.9047
197,4.3,193.627,14,365.9,0.9038
198,4.3,193.627,15,365.9,0.9028
199,4.3,193.627,16,365.9,0.903
200,4.3,193.627,17,365.9,0.904
201,4.3,193.627,18,365.9,0.9057
202,4.3,193.627,19,365.9,0.9077
203,4.3,193.627,20,365.9,0.9097
204,4.3,193.627,21,365.9,0.9135
205,4.3,193.627,22,365.9,0.9173
206,4.3,193.627,23,365.9,0.9215
207,4.3,193.627,24,365.9,0.9262
208,4.3,193.627,25,365.9,0.9324
209,4.3,193.627,26,365.9,0.9379
210,4.3,193.627,27,365.9,0.9442
211,4.3,193.627,28.12,365.9,0.9514
212,4.984,196.606,8,325.8,0.8693
