time,PC,TC,P,T,Z
1,4.939,199.4,6,315,0.8392
2,4.939,199.4,7,315,0.829
3,4.939,199.4,8,315,0.8195
4,4.939,199.4,9,315,0.8101
5,4.939,199.4,10,315,0.7999
6,4.939,199.4,11,315,0.7909
7,4.939,199.4,12,315,0.7822
8,4.939,199.4,13,315,0.7757
9,4.939,199.4,14,315,0.7703
10,4.939,199.4,15,315,0.7675
11,4.939,199.4,16,315,0.7665
12,4.939,199.4,17.19,315,0.7681
13,4.939,199.4,6,335,0.8675
14,4.939,199.4,7,335,0.8594
15,4.939,199.4,8.4,335,0.8497
16,4.939,199.4,9,335,0.8464
17,4.939,199.4,10,335,0.8395
18,4.939,199.4,11,335,0.8333
19,4.939,199.4,12,335,0.8271
20,4.939,199.4,12.8,335,0.8223
21,4.939,199.4,14,335,0.8177
22,4.939,199.4,15,335,0.8155
23,4.939,199.4,16,335,0.8152
24,4.939,199.4,17.19,335,0.817
25,4.939,199.4,6,297,0.8039
26,4.939,199.4,7,297,0.7918
27,4.939,199.4,8,297,0.7804
28,4.939,199.4,9,297,0.7692
29,4.939,199.4,10,297,0.7574
30,4.939,199.4,11,297,0.7469
31,4.939,199.4,12,297,0.7362
32,4.939,199.4,13.5,297,0.7239
33,4.939,199.4,14,297,0.7201
34,4.939,199.4,15,297,0.7157
35,4.939,199.4,16,297,0.7139
36,4.939,199.4,17.19,297,0.7169
37,5.87,206,6,299.4,0.8637
38,5.87,206,7,299.4,0.8473
39,5.87,206,8,299.4,0.8299
40,5.87,206,9,299.4,0.8131
41,5.87,206,10,299.4,0.7977
42,5.87,206,11,299.4,0.785
43,5.87,206,12,299.4,0.774
44,5.87,206,13,299.4,0.7647
45,5.87,206,14,299.4,0.7576
46,5.87,206,15.23,299.4,0.7522
47,5.87,206,6,319,0.8914
48,5.87,206,7,319,0.8795
49,5.87,206,8,319,0.8665
50,5.87,206,9,319,0.8544
51,5.87,206,10,319,0.8435
52,5.87,206,11,319,0.8336
